citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa,record_id,citekey_collision
Murakami2025,ARTICLE,Upper motor neuron-predominant motor neuron disease presenting as atypical parkinsonism: A clinicopathological study,"Murakami, Aya and Koga, Shunsuke and Fujioka, Shinsuke and White, Adrianna E. and Bieniek, Kevin F. and Sekiya, Hiroaki and DeJesus-Hernandez, Mariely and Finch, NiCole A. and van Blitterswijk, Marka and Nakamura, Masataka and Tsuboi, Yoshio and Murray, Melissa E. and Wszolek, Zbigniew K. and Dickson, Dennis W.",2025,Brain Pathology,10.1111/bpa.13286,https://www.scopus.com/pages/publications/85198111277?origin=resultslist,,35,1,Article,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True,Murakami2025,False
Camilleri2026,ARTICLE,Gastroparesis: A Review,"Camilleri, Michael",2026,JAMA,10.1001/jama.2026.12181,https://www.scopus.com/pages/publications/105046040066?origin=resultslist,,,,Review,Cited by: 0,False,False,False,Camilleri2026,False
Barré2024,ARTICLE,Acceptability of and attitudes to the therapeutic use of cannabis and cannabidiol in people with Parkinson's disease: A French survey,"Barré, Tangui and Cazorla, Géraldine and Di Beo, Vincent and Lopez, Fabienne and Radoszycki, Lise and Maradan, Gwenaëlle and Baunez, Christelle and Carrieri, Patrizia",2024,Clinical Parkinsonism and Related Disorders,10.1016/j.prdoa.2024.100286,https://www.scopus.com/pages/publications/85210540403?origin=resultslist,,11,,Article,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True,Barré2024,False
Madhubala20242993,ARTICLE,Phytomedicine for neurodegenerative diseases: The road ahead,"Madhubala, Dev and Patra, Aparup and Khan, Mojibur R. and Mukherjee, Ashis K.",2024,Phytotherapy Research,10.1002/ptr.8192,https://www.scopus.com/pages/publications/85190404687?origin=resultslist,2993 - 3019,38,6,Review,Cited by: 23; All Open Access; Hybrid Gold Open Access,True,True,False,Madhubala20242993,False
Kurihara2024,ARTICLE,Dynamic aphasia as an early sign of corticobasal degeneration: Clinico-radio-pathological correlation,"Kurihara, Masanori and Arakawa, Akira and Tokumaru, Aya Midori and Matsubara, Tomoyasu and Eguchi, Hiroto and Shimo, Yasushi and Hasegawa, Masato and Kanemaru, Kazutomi and Takeda, Katsuhiko and Iwata, Atsushi and Murayama, Shigeo and Saito, Yuko",2024,eNeurologicalSci,10.1016/j.ensci.2024.100526,https://www.scopus.com/pages/publications/85203252364?origin=resultslist,,37,,Article,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True,Kurihara2024,False
Saim2026,ARTICLE,Prognostic factors of survival in corticobasal syndrome and corticobasal degeneration: A scoping review,"Saim, Muhammad S. and Al-Kazzaz, Hayder and Ahmad, Haris",2026,Neurological Sciences,10.1007/s10072-026-09276-x,https://www.scopus.com/pages/publications/105046177317?origin=resultslist,,47,8,Review,Cited by: 0,False,False,False,Saim2026,False
Sung2024185,ARTICLE,Imaging Procedure and Clinical Studies of [18F]FP-CIT PET,"Sung, Changhwan and Oh, Seung Jun and Kim, Jae Seung",2024,Nuclear Medicine and Molecular Imaging,10.1007/s13139-024-00840-x,https://www.scopus.com/pages/publications/85182499487?origin=resultslist,185 - 202,58,4,Review,Cited by: 23; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True,Sung2024185,False
Manzoni20241316,ARTICLE,"Genome-wide analyses reveal a potential role for the MAPT, MOBP, and APOE loci in sporadic frontotemporal dementia","Manzoni, Claudia and Kia, Demis A. and Ferrari, Raffaele and Leonenko, Ganna and Costa, Beatrice and Saba, Valentina and Jabbari, Edwin and Tan, Manuela MX. and Albani, Diego and Alvarez, Victoria and Alvarez, Ignacio and Andreassen, Ole A. and Angiolillo, Antonella and Arighi, Andrea and Baker, Matt and Benussi, Luisa and Bessi, Valentina and Binetti, Giuliano and Blackburn, Daniel J. and Boada, Merce and Boeve, Bradley F. and Borrego-Ecija, Sergi and Borroni, Barbara and Bråthen, Geir and Brooks, William S. and Bruni, Amalia C. and Caroppo, Paola and Bandres-Ciga, Sara and Clarimon, Jordi and Colao, Rosanna and Cruchaga, Carlos and Danek, Adrian and de Boer, Sterre CM. and de Rojas, Itziar and di Costanzo, Alfonso and Dickson, Dennis W. and Diehl-Schmid, Janine and Dobson-Stone, Carol and Dols-Icardo, Oriol and Donizetti, Aldo and Dopper, Elise and Durante, Elisabetta and Ferrari, Camilla and Forloni, Gianluigi and Frangipane, Francesca and Fratiglioni, Laura and Kramberger, Milica G. and Galimberti, Daniela and Gallucci, Maurizio and García-González, Pablo and Ghidoni, Roberta and Giaccone, Giorgio and Graff, Caroline and Graff-Radford, Neill R. and Grafman, Jordan and Halliday, Glenda M. and Hernandez, Dena G. and Hjermind, Lena E. and Hodges, John R. and Holloway, Guy and Huey, Edward D. and Illán-Gala, Ignacio and Josephs, Keith A. and Knopman, David S. and Kristiansen, Mark and Kwok, John B. and Leber, Isabelle and Leonard, Hampton L. and Libri, Ilenia and Lleo, Alberto and Mackenzie, Ian R. and Madhan, Gaganjit K. and Maletta, Raffaele and Marquié, Marta and Maver, Ales and Menendez-Gonzalez, Manuel and Milan, Graziella and Miller, Bruce L. and Morris, Christopher M. and Morris, Huw R. and Nacmias, Benedetta and Newton, Judith and Nielsen, Jørgen E. and Nilsson, Christer and Novelli, Valeria and Padovani, Alessandro and Pal, Suvankar and Pasquier, Florence and Pastor, Pau and Perneczky, Robert and Peterlin, Borut and Petersen, Ronald C. and Piguet, Olivier and Pijnenburg, Yolande AL. and Puca, Annibale A. and Rademakers, Rosa and Rainero, Innocenzo and Reus, Lianne M. and Richardson, Anna MT. and Riemenschneider, Matthias and Rogaeva, Ekaterina and Rogelj, Boris and Rollinson, Sara and Rosen, Howard and Rossi, Giacomina and Rowe, James B. and Rubino, Elisa and Ruiz, Agustin and Salvi, Erika and Sanchez-Valle, Raquel and Sando, Sigrid Botne and Santillo, Alexander F. and Saxon, Jennifer A. and Schlachetzki, Johannes CM. and Scholz, Sonja W. and Seelaar, Harro and Seeley, William W. and Serpente, Maria and Sorbi, Sandro and Sordon, Sabrina and St George-Hyslop, Peter and Thompson, Jennifer C. and Van Broeckhoven, Christine and Van Deerlin, Vivianna M. and Van der Lee, Sven J. and Van Swieten, John and Tagliavini, Fabrizio and van der Zee, Julie and Veronesi, Arianna and Vitale, Emilia and Waldo, Maria Landqvist and Yokoyama, Jennifer S. and Nalls, Mike A. and Momeni, Parastoo and Singleton, Andrew B. and Hardy, John and Escott-Price, Valentina",2024,American Journal of Human Genetics,10.1016/j.ajhg.2024.05.017,https://www.scopus.com/pages/publications/85197544348?origin=resultslist,1316 - 1329,111,7,Article,Cited by: 17; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True,Manzoni20241316,False
Al-Zubaidi2025,ARTICLE,Word onset tracking in neural responses of human basal ganglia nuclei,"Al-Zubaidi, Arkan and Schepers, Inga M. and Beck, Anne-Kathrin and Schwabe, Kerstin and Runge, Joachim and Abdallat, Mahmoud and Krauss, Joachim K. and Rieger, Jochem W.",2025,Brain Structure and Function,10.1007/s00429-025-02968-8,https://www.scopus.com/pages/publications/105008985171?origin=resultslist,,230,6,Article,Cited by: 4; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True,Al-Zubaidi2025,False
Chen2026,ARTICLE,"The role of AI-assisted drug repurposing in neurological disorders: a systematic review of validation strategies, challenges and opportunities","Chen, Fengshou and Wang, Limei and Liu, Hao and Khan, Qasim and Tang, Bing and Bao, Naren",2026,Journal of Nanobiotechnology,10.1186/s12951-026-04551-7,https://www.scopus.com/pages/publications/105047798580?origin=resultslist,,24,1,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True,Chen2026,False
