citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Mucke202544,ARTICLE,Drug Repurposing Patent Applications July–September 2024,"Mucke, Hermann A.M.",2025,Assay and Drug Development Technologies,10.1089/adt.2024.126,https://www.scopus.com/pages/publications/85215327820?origin=resultslist,44 - 52,23,1,Review,Cited by: 0,False,False,False
Bala20241939,ARTICLE,Emerging roles of cannabinoid receptor CB2 receptor in the central nervous system: therapeutic target for CNS disorders,"Bala, Kanchan and Porel, Pratyush and Aran, Khadga Raj",2024,Psychopharmacology,10.1007/s00213-024-06683-w,https://www.scopus.com/pages/publications/85203696246?origin=resultslist,1939 - 1954,241,10,Review,Cited by: 17,False,False,False
Dhiman2024,ARTICLE,Sirtuin dysregulation in Parkinson's disease: Implications of acetylation and deacetylation processes,"Dhiman, Sonia and Mannan, Ashi and Taneja, Ayushi and Mohan, Maneesh and Singh, Thakur Gurjeet",2024,Life Sciences,10.1016/j.lfs.2024.122537,https://www.scopus.com/pages/publications/85186750189?origin=resultslist,,342,,Review,Cited by: 27,False,False,False
Can2024346,ARTICLE,Pharmacological Treatment of Tourette Disorder in Children,"Can, Afra and Vermilion, Jennifer and Mink, Jonathan W. and Morrison, Peter",2024,Journal of Child and Adolescent Psychopharmacology,10.1089/cap.2023.0026,https://www.scopus.com/pages/publications/85202796456?origin=resultslist,346 - 352,34,8,Review,Cited by: 6,False,False,False
Bernhardt2026,ARTICLE,From clinical phenotypes to molecular stratification: early differential diagnosis of four-repeat tauopathies,"Bernhardt, Alexander M. and Höglinger, Günter U. and Palleis, Carla",2026,Frontiers in Aging Neuroscience,10.3389/fnagi.2026.1801615,https://www.scopus.com/pages/publications/105044397626?origin=resultslist,,18,,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Nerattini2025565,ARTICLE,PET/CT in Movement Disorders: Update,"Nerattini, Matilde and Abenavoli, Elisabetta Maria and Berti, Valentina",2025,Seminars in Nuclear Medicine,10.1053/j.semnuclmed.2025.03.007,https://www.scopus.com/pages/publications/105004239850?origin=resultslist,565 - 576,55,4,Review,Cited by: 4; All Open Access; Hybrid Gold Open Access,True,True,False
Bhaskar20242733,ARTICLE,Exploring the Therapeutic Potential of Cannabigerol in Neurodegenerative Diseases,"Bhaskar, Rakesh and Narayanan, Kannan Badri and Nagayach, Aarti and Choi, Soon Mo and Han, Sung Soo",2024,Journal of Biological Regulators and Homeostatic Agents,10.23812/j.biol.regul.homeost.agents.20243804.214,https://www.scopus.com/pages/publications/85201745920?origin=resultslist,2733 - 2749,38,4,Review,Cited by: 1; All Open Access; Hybrid Gold Open Access,True,True,False
Jellinger2025495,ARTICLE,Pathomechanisms of neuropsychiatric disturbances in atypical parkinsonian disorders: a current view,"Jellinger, Kurt A.",2025,Journal of Neural Transmission,10.1007/s00702-025-02890-7,https://www.scopus.com/pages/publications/85219585161?origin=resultslist,495 - 518,132,4,Review,Cited by: 5,False,False,False
Mishra2025,ARTICLE,Exploring the potential of traditional herbal medicine in the management of central nervous system disorders,"Mishra, Ravindra and Jain, Vinay",2025,Phytomedicine Plus,10.1016/j.phyplu.2025.100896,https://www.scopus.com/pages/publications/105019095487?origin=resultslist,,5,4,Review,Cited by: 6; All Open Access; Gold Open Access; Green Open Access,True,True,True
Goyal2025100,ARTICLE,Cannabinoid Receptor 1: The Neural Gatekeeper of Health and Disease,"Goyal, Ahsas and Kumari, Anshika and Verma, Aanchal and Bhatiya, Sheetal and Yadav, Harlokesh Narayan",2025,Current Neurovascular Research,10.2174/0115672026403497250910124233,https://www.scopus.com/pages/publications/105019341385?origin=resultslist,100 - 114,22,2,Review,Cited by: 0,False,False,False
Chunowski2024,ARTICLE,Asymmetry in Atypical Parkinsonian Syndromes—A Review,"Chunowski, Patryk and Madetko-Alster, Natalia and Alster, Piotr",2024,Journal of Clinical Medicine,10.3390/jcm13195798,https://www.scopus.com/pages/publications/85206498310?origin=resultslist,,13,19,Review,Cited by: 6; All Open Access; Gold Open Access; Green Open Access,True,True,True
Lawrence202493,ARTICLE,Schizophrenia and Emergency Medicine,"Lawrence, Ryan E. and Bernstein, Adam",2024,Emergency Medicine Clinics of North America,10.1016/j.emc.2023.06.012,https://www.scopus.com/pages/publications/85166662038?origin=resultslist,93 - 104,42,1,Review,Cited by: 4,False,False,False
