citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Lampsas2026,ARTICLE,The Effects of GLP-1 Receptor Agonists on Retinal Microvascular Alterations,"Lampsas, Stamatios and Chardalia, Gerasimia-Marina and Agapitou, Chrysa and Papastamopoulos, Konstantinos and Theodossiadis, Panagiotis and Siasos, Gerasimos and Oikonomou, Evangelos and Lambadiari, Vaia and Chatziralli, Irini",2026,Biomedicines,10.3390/biomedicines14051057,https://www.scopus.com/pages/publications/105040201465?origin=resultslist,,14,5,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Mullur2024,ARTICLE,GLP-1 receptor agonist-based therapies and cardiovascular risk: a review of mechanisms,"Mullur, Neerav and Morissette, Arianne and Morrow, Nadya M. and Mulvihill, Erin E.",2024,Journal of Endocrinology,10.1530/JOE-24-0046,https://www.scopus.com/pages/publications/85205407012?origin=resultslist,,263,1,Review,Cited by: 40; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Elnaggar2026,ARTICLE,Efficacy of SGLT2 Inhibitors Versus GLP-1 Receptor Agonists in Type 2 Diabetes Patients with Non-alcoholic Fatty Liver Disease: A Systematic Review and Meta-analysis,"Elnaggar, Mohamed and Abbas, Omar F. and Almarfadi, Abdullah and Refaei, Abdelrahman and Eltaly, Hatem and Abd El Aziz, Mohamed",2026,Current Hepatology Reports,10.1007/s11901-025-00718-2,https://www.scopus.com/pages/publications/105027844753?origin=resultslist,,25,1,Review,Cited by: 0; All Open Access; Hybrid Gold Open Access,True,True,False
Yang2026,ARTICLE,Research progress on the molecular mechanism and clinical evidence of glucagon-like peptide-1 receptor agonists in improving sarcopenia,"Yang, Qun and Wang, Yuting and Gao, Ge and Li, Haitao and Gao, Yu and He, Jianqiu",2026,Diabetology and Metabolic Syndrome,10.1186/s13098-026-02133-z,https://www.scopus.com/pages/publications/105040399509?origin=resultslist,,18,1,Review,Cited by: 1; All Open Access; Gold Open Access; Green Open Access,True,True,True
Zasadzinska2025214,ARTICLE,The Evolving Role of GLP-1 Receptor Agonists in MASLD: Current Evidence and Future Directions,"Zasadzinska, Maria and Borowski, Grzegorz and Bakuła, Piotr and Jałocha, Kamila",2025,Journal of Diabetology,10.4103/jod.jod_18_25,https://www.scopus.com/pages/publications/105010871530?origin=resultslist,214 - 222,16,3,Review,Cited by: 4; All Open Access; Gold Open Access; Green Open Access,True,True,True
Ellegaard2025,ARTICLE,Treatment of Bile Acid Diarrhea With Glucagon-Like Peptide 1 Receptor Agonists: A Promising Yet Understudied Approach,"Ellegaard, Anne-Marie and Kårhus, Martin L. and Winther-Jensen, Matilde and Lund, Asger B. and Knop, Filip K.",2025,Clinical and Translational Gastroenterology,10.14309/ctg.0000000000000815,https://www.scopus.com/pages/publications/85215567449?origin=resultslist,,16,3,Review,Cited by: 6; All Open Access; Gold Open Access; Green Open Access,True,True,True
Panou2025,ARTICLE,Ferroptosis and pyroptosis in diabetes mellitus: emerging therapeutic potential of GLP-1 receptor agonists,"Panou, Theodoros and Gouveri, Evanthia and Rizzo, Manfredi and Popovic, Djordje S. and Papanas, Nikolaos",2025,Frontiers in Clinical Diabetes and Healthcare,10.3389/fcdhc.2025.1657710,https://www.scopus.com/pages/publications/105020595167?origin=resultslist,,6,,Review,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Wang2026,ARTICLE,Cardiorenal protective effects of glucagon-like peptide-1 receptor agonists in chronic kidney disease: a systematic review and meta-analysis,"Wang, Yuqi and Feng, Luda and Wang, Yajing and Li, Boyang and Liang, Ning and Song, Xuan and Qin, Jianguo and Zhang, Mianzhi and Li, Yu",2026,Renal Failure,10.1080/0886022X.2026.2620155,https://www.scopus.com/pages/publications/105029612401?origin=resultslist,,48,1,Review,Cited by: 1; All Open Access; Gold Open Access; Green Open Access,True,True,True
Lotosky2025,ARTICLE,GLP-1 and Its Role in Glycogen Production: A Narrative Review,"Lotosky, Joseph and Jean, Xavier and Altankhuyag, Anungoo and Khan, Saqib and Bernotas, Ashley and Sharafshah, Alireza and Blum, Kenneth and Posner, Alan and Thanos, Panayotis K.",2025,Biomedicines,10.3390/biomedicines13071610,https://www.scopus.com/pages/publications/105011618733?origin=resultslist,,13,7,Review,Cited by: 13; All Open Access; Gold Open Access; Green Open Access,True,True,True
Wu202517879,ARTICLE,"Comprehensive Review of Sepsis-Related Skeletal Muscle Atrophy: Mechanisms, Diagnosis and Therapeutic Strategies","Wu, Qiqi and Huang, Qiufen and Xu, Zhikai and Hou, Chaoyao and Wang, Chuntao",2025,Journal of Inflammation Research,10.2147/JIR.S554850,https://www.scopus.com/pages/publications/105026489386?origin=resultslist,17879 - 17894,18,,Review,Cited by: 6; All Open Access; Gold Open Access; Green Open Access,True,True,True
Dhas2024,ARTICLE,Repurposing metabolic regulators: antidiabetic drugs as anticancer agents,"Dhas, Yogita and Biswas, Nupur and M.R, Divyalakshmi and Jones, Lawrence D. and Ashili, Shashaanka",2024,Molecular Biomedicine,10.1186/s43556-024-00204-z,https://www.scopus.com/pages/publications/85205511597?origin=resultslist,,5,1,Review,Cited by: 35; All Open Access; Gold Open Access; Green Open Access,True,True,True
Hoteit2025,ARTICLE,The dual impact of GLP-1 receptor agonists on metabolic and reproductive health in polycystic ovary syndrome: insights from human and animal trials,"Hoteit, Bassel H. and Kotaich, Jana and Ftouni, Hadi and Hazime, Fatima and Safawi, Abdallah and Masri, Rim and Marwani, Mia",2025,Therapeutic Advances in Endocrinology and Metabolism,10.1177/20420188251383064,https://www.scopus.com/pages/publications/105035403715?origin=resultslist,,16,,Review,Cited by: 6; All Open Access; Gold Open Access; Green Open Access,True,True,True
Hu2026,ARTICLE,The mechanisms of GLP-1 receptor agonists in liver diseases: their multifaceted impact on immune response and metabolic regulation,"Hu, Zixuan and Tian, Dianzhe and Yang, Zuyi and Zhang, Junwei and Zhang, Lei and Xu, Yiyao and Lu, Xin",2026,Frontiers in Pharmacology,10.3389/fphar.2026.1754721,https://www.scopus.com/pages/publications/105041514127?origin=resultslist,,17,,Review,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Jalleh20251,ARTICLE,Clinical Consequences of Delayed Gastric Emptying With GLP-1 Receptor Agonists and Tirzepatide,"Jalleh, Ryan J. and Plummer, Mark P. and Marathe, Chinmay S. and Umapathysivam, Mahesh M. and Quast, Daniel R. and Rayner, Christopher K. and Jones, Karen L. and Wu, Tongzhi and Horowitz, Michael and Nauck, Michael A.",2025,Journal of Clinical Endocrinology and Metabolism,10.1210/clinem/dgae719,https://www.scopus.com/pages/publications/85212427036?origin=resultslist,1 - 15,110,1,Review,Cited by: 117; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Porterfield2026,ARTICLE,Combination cardiometabolic therapy in type 2 diabetes: optimizing SGLT2 inhibitor and GLP‑1 receptor agonist use,"Porterfield, Laura R. and Nadeem, Saad and Swanson, Dallin and Hayek, Salim S and Vaughan, Elizabeth M",2026,Current Atherosclerosis Reports,10.1007/s11883-026-01448-6,https://www.scopus.com/pages/publications/105044761818?origin=resultslist,,28,1,Review,Cited by: 0; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Gunawan202526,ARTICLE,"Dual GIP/GLP1-RA, GCGR/GLP-1 RA and GLP1-RA for the Treatment of Metabolic Dysfunction-associated Steatotic Liver Disease with Type 2 Diabetes: A Systematic Review and Meta-analysis","Gunawan, Burhan and Nugroho, Heri and Sibarani, Roy Panusuan",2025,US Endocrinology,10.17925/EE.2025.21.2.5,https://www.scopus.com/pages/publications/105019950554?origin=resultslist,26 - 32,21,2,Review,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Huang2026,ARTICLE,Redox-Driven Blood–Nerve Barrier Dysfunction in Diabetic Peripheral Neuropathy: Mechanisms and Therapeutic Opportunities,"Huang, Wei-Hsiu and Wong, Chih-Shung",2026,Antioxidants,10.3390/antiox15060670,https://www.scopus.com/pages/publications/105042901447?origin=resultslist,,15,6,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
